"id","timestamp","open_price","high_price","low_price","close_price"
1,2017-08-17 03:00:00.000,4261.48,4485.39,4200.74,4285.08
2,2017-08-18 03:00:00.000,4285.08,4371.52,3938.77,4108.37
3,2017-08-19 03:00:00.000,4108.37,4184.69,3850,4139.98
4,2017-08-20 03:00:00.000,4120.98,4211.08,4032.62,4086.29
5,2017-08-21 03:00:00.000,4069.13,4119.62,3911.79,4016
6,2017-08-22 03:00:00.000,4016,4104.82,3400,4040
7,2017-08-23 03:00:00.000,4040,4265.8,4013.89,4114.01
8,2017-08-24 03:00:00.000,4147,4371.68,4085.01,4316.01
9,2017-08-25 03:00:00.000,4316.01,4453.91,4247.48,4280.68
10,2017-08-26 03:00:00.000,4280.71,4367,4212.41,4337.44
11,2017-08-27 03:00:00.000,4332.51,4400,4285.54,4310.01
12,2017-08-28 03:00:00.000,4310.01,4399.82,4124.54,4386.69
13,2017-08-29 03:00:00.000,4353.65,4625.85,4313.55,4587.48
14,2017-08-30 03:00:00.000,4564.52,4647.51,4416.01,4555.14
15,2017-08-31 03:00:00.000,4555.14,4745.42,4555.14,4724.89
16,2017-09-01 03:00:00.000,4689.89,4885.55,4654.88,4834.91
17,2017-09-02 03:00:00.000,4796.16,4939.19,4286.87,4472.14
18,2017-09-03 03:00:00.000,4508.5,4714.76,4298.33,4509.08
19,2017-09-04 03:00:00.000,4505,4527.49,3972.51,4100.11
20,2017-09-05 03:00:00.000,4106.97,4484.99,3603,4366.47
21,2017-09-06 03:00:00.000,4366.49,4662.87,4335.26,4619.77
22,2017-09-07 03:00:00.000,4619.77,4788.59,4438.19,4691.61
23,2017-09-08 03:00:00.000,4691.66,4735.39,4028.93,4282.8
24,2017-09-09 03:00:00.000,4282.8,4426.62,4150.06,4258.81
25,2017-09-10 03:00:00.000,4258.81,4283,3801,4130.37
26,2017-09-11 03:00:00.000,4153.62,4334.43,4098.91,4208.47
27,2017-09-12 03:00:00.000,4208.6,4394.59,4040.8,4163.72
28,2017-09-13 03:00:00.000,4159.72,4165.38,3760,3944.69
29,2017-09-14 03:00:00.000,3944,3993,3165.13,3189.02
30,2017-09-15 03:00:00.000,3188.01,3856,2817,3700
31,2017-09-16 03:00:00.000,3674.01,3950,3470.66,3714.95
32,2017-09-17 03:00:00.000,3685.23,3748.21,3499.02,3699.99
33,2017-09-18 03:00:00.000,3690,4123.2,3690,4035.01
34,2017-09-19 03:00:00.000,4060,4089.97,3830.91,3910.04
35,2017-09-20 03:00:00.000,3910.04,4046.08,3820,3900
36,2017-09-21 03:00:00.000,3889.99,3910,3567,3609.99
37,2017-09-22 03:00:00.000,3592.84,3750,3505.55,3595.87
38,2017-09-23 03:00:00.000,3595.88,3817.19,3542.91,3780
39,2017-09-24 03:00:00.000,3779.54,3789.99,3622.76,3660.02
40,2017-09-25 03:00:00.000,3660.02,3979.87,3653.69,3920.75
41,2017-09-26 03:00:00.000,3928,3976.99,3850.05,3882.35
42,2017-09-27 03:00:00.000,3882.36,4249.94,3872.81,4193
43,2017-09-28 03:00:00.000,4192.11,4300,4101,4174.5
44,2017-09-29 03:00:00.000,4178.98,4263.86,3952.01,4174.69
45,2017-09-30 03:00:00.000,4175,4380,4138.1,4378.51
46,2017-10-01 03:00:00.000,4378.49,4406.52,4240.04,4378.48
47,2017-10-02 03:00:00.000,4400,4561.63,4360,4380
48,2017-10-03 03:00:00.000,4380,4467.33,4180.8,4310
49,2017-10-04 03:00:00.000,4314.9,4373,4142,4208.59
50,2017-10-05 03:00:00.000,4208.59,4355,4110,4292.43
51,2017-10-06 03:00:00.000,4318.99,4417,4292,4369
52,2017-10-07 03:00:00.000,4369,4479.5,4312.56,4423
53,2017-10-08 03:00:00.000,4425,4658,4425,4640
54,2017-10-09 03:00:00.000,4640,4889.98,4550,4786.95
55,2017-10-10 03:00:00.000,4786.95,4960,4680.59,4783.06
56,2017-10-11 03:00:00.000,4783.06,4881.61,4710,4821.43
57,2017-10-12 03:00:00.000,4821.43,5439.99,4810.16,5430
58,2017-10-13 03:00:00.000,5439.99,5846.17,5379.84,5649.98
59,2017-10-14 03:00:00.000,5650,5900,5580.01,5869.99
60,2017-10-15 03:00:00.000,5855.03,5922.3,5400.01,5709.99
61,2017-10-16 03:00:00.000,5710,5788.91,5585.19,5760.02
62,2017-10-17 03:00:00.000,5760,5774.98,5508.63,5595
63,2017-10-18 03:00:00.000,5595,5596,5037.95,5512.06
64,2017-10-19 03:00:00.000,5513,5710,5490.26,5683.9
65,2017-10-20 03:00:00.000,5683.31,6110,5600,6010.01
66,2017-10-21 03:00:00.000,6013.72,6171,5850.03,6024.97
67,2017-10-22 03:00:00.000,6003.27,6060,5720.03,5950.02
68,2017-10-23 03:00:00.000,5975,6080,5621.03,5915.93
69,2017-10-24 03:00:00.000,5909.47,5925,5450,5477.03
70,2017-10-25 03:00:00.000,5506.92,5704.96,5286.98,5689.99
71,2017-10-26 03:00:00.000,5670.1,5939.99,5650,5861.77
72,2017-10-27 03:00:00.000,5861.77,5980,5649.24,5768.83
73,2017-10-28 03:00:00.000,5768.79,5850.02,5630.03,5719.64
74,2017-10-29 03:00:00.000,5709.98,6189.88,5648.01,6169.98
75,2017-10-30 03:00:00.000,6133.01,6248.68,6030,6120.5
76,2017-10-31 03:00:00.000,6120.52,6498.01,6100,6463
77,2017-11-01 03:00:00.000,6463,6774.67,6338.02,6753.98
78,2017-11-02 03:00:00.000,6753.98,7300,6685.1,7019.98
79,2017-11-03 03:00:00.000,7010.31,7346.34,6923,7115.04
80,2017-11-04 03:00:00.000,7115.02,7480.99,6901,7357.09
81,2017-11-05 03:00:00.000,7357.27,7590.25,7279.02,7345.01
82,2017-11-06 03:00:00.000,7345.1,7401,6906,6960.12
83,2017-11-07 03:00:00.000,6981.72,7198.49,6901,7064.04
84,2017-11-08 03:00:00.000,7070,7770.02,6651,7303
85,2017-11-09 03:00:00.000,7303.01,7392,7015,7079.99
86,2017-11-10 03:00:00.000,7079,7279.91,6255.01,6506.98
87,2017-11-11 03:00:00.000,6503,6797.98,6100,6245.05
88,2017-11-12 03:00:00.000,6245.05,6630,5325.01,5811.03
89,2017-11-13 03:00:00.000,5839.94,6697.47,5699.99,6465.99
90,2017-11-14 03:00:00.000,6465.99,6684.98,6311.07,6574.99
91,2017-11-15 03:00:00.000,6575.99,7298,6575.99,7240.06
92,2017-11-16 03:00:00.000,7240.14,7940,7076,7864.5
93,2017-11-17 03:00:00.000,7876.98,7989,7451,7699.19
94,2017-11-18 03:00:00.000,7680.01,7819.99,7422,7761.94
95,2017-11-19 03:00:00.000,7761.94,8123.15,7650.33,8038
96,2017-11-20 03:00:00.000,8057.11,8319.99,7954,8212
97,2017-11-21 03:00:00.000,8212.49,8400,7801,8119.51
98,2017-11-22 03:00:00.000,8091.09,8322.68,8091.09,8205.92
99,2017-11-23 03:00:00.000,8233.03,8260,8000,8019.99
100,2017-11-24 03:00:00.000,8019.97,8369,7850,8138
101,2017-11-25 03:00:00.000,8138.99,8734.78,8090,8700.01
102,2017-11-26 03:00:00.000,8700.04,9350,8604.72,9128.02
103,2017-11-27 03:00:00.000,9128,9654.28,9112.04,9650
104,2017-11-28 03:00:00.000,9650,9939,9570.5,9896.8
105,2017-11-29 03:00:00.000,9896.79,11300.03,8520,9687.88
106,2017-11-30 03:00:00.000,9687.88,10900,8850.8,9838.96
107,2017-12-01 03:00:00.000,9837,10898,9380,10782.99
108,2017-12-02 03:00:00.000,10775.04,11190,10620,10890.01
109,2017-12-03 03:00:00.000,10902.69,11825,10500,11165.41
110,2017-12-04 03:00:00.000,11165.41,11600,10802,11579
111,2017-12-05 03:00:00.000,11571.03,11853,11447.68,11699.99
112,2017-12-06 03:00:00.000,11699.99,13615.23,11665.58,13550.05
113,2017-12-07 03:00:00.000,13541.01,16649.96,13050,16599
114,2017-12-08 03:00:00.000,16599,17204.99,14015,15880
115,2017-12-09 03:00:00.000,15880.01,16269.3,12535,14656.07
116,2017-12-10 03:00:00.000,14664.01,15720.12,12368,14899.98
117,2017-12-11 03:00:00.000,14946.26,17470,14901.08,16587.97
118,2017-12-12 03:00:00.000,16587.97,16976.45,15875,16349.99
119,2017-12-13 03:00:00.000,16349.99,16546,14666.56,16033.29
120,2017-12-14 03:00:00.000,16030.34,16445,15450,16334.98
121,2017-12-15 03:00:00.000,16334.98,17991,16298.45,17539.83
122,2017-12-16 03:00:00.000,17516.81,19539,17190.01,19102.66
123,2017-12-17 03:00:00.000,19120.19,19798.68,18510,18860.02
124,2017-12-18 03:00:00.000,18860.04,19300,17029.98,18856.25
125,2017-12-19 03:00:00.000,18856.25,18950,16300,17295.2
126,2017-12-20 03:00:00.000,17295.2,17720.35,14777.66,16488.98
127,2017-12-21 03:00:00.000,16480.52,17309.5,14022,15492.64
128,2017-12-22 03:00:00.000,15514.03,15699.34,10961,13326.61
129,2017-12-23 03:00:00.000,13326.61,14950,12978.18,13300
130,2017-12-24 03:00:00.000,13300,13819.99,11640,13500
131,2017-12-25 03:00:00.000,13500,14300,12708,13699.34
132,2017-12-26 03:00:00.000,13699.34,16050,13533,15689.01
133,2017-12-27 03:00:00.000,15709.98,16498.05,14200.15,15459.99
134,2017-12-28 03:00:00.000,15459.97,15539.99,13150,14182.11
135,2017-12-29 03:00:00.000,14199.14,14981,13850,14378.9
136,2017-12-30 03:00:00.000,14378.99,14398.85,11750,12440.01
137,2017-12-31 03:00:00.000,12345.1,14050.11,12149.98,13716.36
138,2018-01-01 03:00:00.000,13715.65,13818.55,12750,13380
139,2018-01-02 03:00:00.000,13382.16,15473.49,12890.02,14675.11
140,2018-01-03 03:00:00.000,14690,15307.56,14150,14919.51
141,2018-01-04 03:00:00.000,14919.51,15280,13918.04,15059.54
142,2018-01-05 03:00:00.000,15059.56,17176.24,14600,16960.39
143,2018-01-06 03:00:00.000,16960.39,17143.13,16011.21,17069.79
144,2018-01-07 03:00:00.000,17069.79,17099.96,15610,16150.03
145,2018-01-08 03:00:00.000,16218.85,16322.3,12812,14902.54
146,2018-01-09 03:00:00.000,14902.54,15500,14011.05,14400
147,2018-01-10 03:00:00.000,14401,14955.66,13131.31,14907.09
148,2018-01-11 03:00:00.000,14940,14968.68,11400,13238.78
149,2018-01-12 03:00:00.000,13238.76,14109.78,12500,13740.01
150,2018-01-13 03:00:00.000,13749.95,14580,13706.15,14210
151,2018-01-14 03:00:00.000,14210,14339.5,12569.2,13474.99
152,2018-01-15 03:00:00.000,13477.98,14249.99,13147.79,13539.93
153,2018-01-16 03:00:00.000,13500,13542.93,9035,10900
154,2018-01-17 03:00:00.000,10899.99,11680.99,9037.94,10988.79
155,2018-01-18 03:00:00.000,10972.59,11878.82,10435.33,10961.97
156,2018-01-19 03:00:00.000,10960,11795,10360,11474.98
157,2018-01-20 03:00:00.000,11474.98,13099,11412.45,12799.94
158,2018-01-21 03:00:00.000,12799.8,12799.8,10965,11530
159,2018-01-22 03:00:00.000,11530,11926.35,9900.24,10760.05
160,2018-01-23 03:00:00.000,10760.05,11399,9905,10799.18
161,2018-01-24 03:00:00.000,10799.14,11570.48,10500,11349.99
162,2018-01-25 03:00:00.000,11349.96,11794.05,10950.21,11175.27
163,2018-01-26 03:00:00.000,11184.7,11643,10311.15,11089
164,2018-01-27 03:00:00.000,11089,11650,10842.69,11491
165,2018-01-28 03:00:00.000,11499.98,12244,11408,11879.95
166,2018-01-29 03:00:00.000,11879.95,11975.02,11139.55,11251
167,2018-01-30 03:00:00.000,11250.11,11308.42,9900,10237.51
168,2018-01-31 03:00:00.000,10230,10425.85,9700,10285.1
169,2018-02-01 03:00:00.000,10285.1,10335,8750.99,9224.52
170,2018-02-02 03:00:00.000,9224.52,9250,8010.02,8873.03
171,2018-02-03 03:00:00.000,8873.03,9473.01,8229,9199.96
172,2018-02-04 03:00:00.000,9199.96,9368,7930,8184.81
173,2018-02-05 03:00:00.000,8179.99,8382.8,6625,6939.99
174,2018-02-06 03:00:00.000,6939.63,7878,6000.01,7652.14
175,2018-02-07 03:00:00.000,7655.02,8476,7150.01,7599
176,2018-02-08 03:00:00.000,7599,7844,7572.09,7784.02
177,2018-02-09 03:00:00.000,7789.9,8738,7789.9,8683.92
178,2018-02-10 03:00:00.000,8683.93,9065.78,8120,8533.98
179,2018-02-11 03:00:00.000,8533.99,8549,7726.53,8063.88
180,2018-02-12 03:00:00.000,8063.82,8989,8053,8903
181,2018-02-13 03:00:00.000,8903,8950,8351,8539.9
182,2018-02-14 03:00:00.000,8535.17,9489.6,8533,9449.99
183,2018-02-15 03:00:00.000,9449.98,10219.5,9301.5,10000.09
184,2018-02-16 03:00:00.000,10000.89,10323.37,9666,10159.98
185,2018-02-17 03:00:00.000,10156.07,11075.07,10050,11039.55
186,2018-02-18 03:00:00.000,11039.55,11274,10080,10383.43
187,2018-02-19 03:00:00.000,10375.01,11250,10270.33,11153
188,2018-02-20 03:00:00.000,11147.11,11786.01,11100.59,11200.99
189,2018-02-21 03:00:00.000,11195.07,11304.03,10200,10437.6
190,2018-02-22 03:00:00.000,10439.02,10933.44,9679,9811.04
191,2018-02-23 03:00:00.000,9815.55,10435,9570.19,10131.04
192,2018-02-24 03:00:00.000,10131.04,10496.97,9352,9694.51
193,2018-02-25 03:00:00.000,9694.51,9847,9274.8,9590
194,2018-02-26 03:00:00.000,9590,10444.32,9350,10324
195,2018-02-27 03:00:00.000,10321,10870,10121,10569.04
196,2018-02-28 03:00:00.000,10584.33,11098,10300,10326.76
197,2018-03-01 03:00:00.000,10325.64,11060.41,10240,10920
198,2018-03-02 03:00:00.000,10923.36,11200,10770,11039
199,2018-03-03 03:00:00.000,11038.99,11544,11015.01,11464.48
200,2018-03-04 03:00:00.000,11464.47,11565,11050.02,11515
201,2018-03-05 03:00:00.000,11515,11710,11415.01,11454
202,2018-03-06 03:00:00.000,11455,11455,10555.48,10716.48
